code,district_code,name,type
1102092012,110209,Rema,village
1102092013,110209,Bambel Baru,village
1102092014,110209,Pejuang,village
1102092015,110209,Darussalam,village
1102092016,110209,Amaliah,village
1102092017,110209,Sebudi Jaya,village
1102092018,110209,Gumpang,village
1102092019,110209,Kute Gekhat,village
1102092020,110209,Paye Khambung,village
1102092021,110209,Mbak Sako,village
1102092022,110209,Darul Imami,village
1102092023,110209,Rikit Bur II,village
1102092024,110209,Kute Empat Lima,village
1102102001,110210,Simpang Semadam,village
1102102002,110210,Semadam Awal,village
1102102003,110210,Semadam Asal,village
1102102004,110210,Lawe Kinga Gabungan,village
1102102005,110210,Lawe Kinga Tebing Tinggi,village
1102102006,110210,Kebun Sere,village
1102102007,110210,Lawe Beringin Horas,village
1102102008,110210,Lawe. Berigin Gayo,village
1102102009,110210,Suka Makmur,village
1102102010,110210,Pasar Puntung,village
1102102011,110210,Titi Pasir,village
1102102012,110210,Lawe Petanduk I,village
1102102013,110210,Ngkeran Alur Buluh,village
1102102014,110210,Kampung Baru,village
1102102015,110210,Sepakat Segenap,village
1102102016,110210,Selamat Indah,village
1102102017,110210,Lawe Kinge Lapter,village
1102102018,110210,Lawe Mejile,village
1102102019,110210,Lawe Petanduk-II,village
1102112004,110211,Titi Mas,village
1102112005,110211,Meranti,village
1102112006,110211,Kute Lang-Lang,village
1102112007,110211,Lawe Sumur,village
1102112008,110211,Pardamaian,village
1102112009,110211,Salim Pipit,village
1102112010,110211,Penguhapan,village
1102112011,110211,Lumban Tua,village
1102112012,110211,Mutiara Damai,village
1102112013,110211,Dolok Nauli,village
1102112014,110211,Tuhi Jongkat,village
1102112015,110211,Uning Sigugur,village
1102112016,110211,Lumban Sitio-tio,village
1102112017,110211,Lawe Malum,village
1102112018,110211,Alur Baning,village
1102112019,110211,Lingga Alas,village
1102112020,110211,Khambung Tumbung,village
1102112021,110211,Tuah Mesade,village
1102112022,110211,Sumukh Alas,village
1102112023,110211,Alukh Bakhu,village
1102112024,110211,Sepekhinding,village
1102112025,110211,Tanoh Subukh,village
1102112026,110211,Pinggan Mbelang,village
1102112027,110211,Sigai Indah,village
1102112028,110211,Ukekh Deleng,village
1102112029,110211,Alas Mesikhat,village
1102112030,110211,Titi Hakhapen,village
1102122001,110212,Aunan Sepakat,village
1102122002,110212,Lawe Penanggalan,village
1102122003,110212,Lawe Mengkudu,village
1102122004,110212,Jambur Lak-lak,village
1102122005,110212,Simpang Tiga Jongar,village
1102122006,110212,Jongar Asli,village
1102122007,110212,Ketambe,village
1102122008,110212,Rumah Bundar,village
1102122009,110212,Penyeberangan Cingkam,village
1102122010,110212,Deleng Damar,village
1102122011,110212,Bintang Bener,village
1102122012,110212,Suka Rimbun,village
1102122013,110212,Lawe Aunan,village
1102122014,110212,Bener Bepapah,village
1102122015,110212,Penungkunen,village
1102122016,110212,Datok Pining,village
1102122017,110212,Kati Maju,village
1102122018,110212,Leuser,village
1102122019,110212,Jati Sara,village
1102122020,110212,Bukit Mbakhu,village
1102122021,110212,Kayu Metangur,village
1102122022,110212,Lawe Sembekan,village
1102122023,110212,Lawe Beringin,village
1102122024,110212,Lawe Ger-Ger,village
1102122025,110212,Simpur Jaya,village
1102132001,110213,Salang Baru,village
1102132002,110213,Ranto Dior,village
1102132003,110213,Lembah Alas,village
1102132004,110213,Tenembak Lang-Lang,village
1102132005,110213,Salang Sigotom,village
1102132006,110213,Tualang Lama,village
1102132007,110213,Gusung Batu,village
1102132008,110213,Kaya Pangur,village
1102132009,110213,Sepakat,village
1102132010,110213,Lawe Pangkat,village
1102132011,110213,Bunga Melur,village
1102132012,110213,Penampaan,village
1102132013,110213,Terutung Mbelang,village
1102132014,110213,Salang Muara,village
1102132015,110213,Lawe Hakhum,village
1102132016,110213,Tanoh Khukahen,village
1102132017,110213,Tading Ni Ulihi,village
1102132018,110213,Peseluk Pesimbe,village
1102132019,110213,Kane Lot,village
1102132020,110213,Muhajirin,village
1102132021,110213,Beriring Naru,village
1102132022,110213,Kati Jeroh,village
1102142001,110214,Terutung Megara Lawe Pasaran,village
1102142002,110214,Kisam Gabungan,village
1102142003,110214,Kisam Kute Pasir,village
1102142004,110214,Lawe Sumur,village
1102142005,110214,Lawe Sumur Baru,village
1102142006,110214,Kute Lesung,village
1102142007,110214,Berandang,village
1102142008,110214,Kute Bunin,village
1102142009,110214,Buah Pala,village
1102142010,110214,Panosan,village
1102142011,110214,Lawe Pasaran Tengku Mbelin,village
1102142012,110214,Terutung Megahke MBakhu,village
1102142013,110214,Kisam Lestari,village
1102142014,110214,Kisam Kute Rambe,village
1102142015,110214,Lawe Polak,village
1102142016,110214,Lawes Sumur Sepakat,village
1102142017,110214,Setia Baru,village
1102142018,110214,Teger Miko,village
1102152001,110215,Salim Pinim I,village
1102152002,110215,Jambur Damar,village
1102152003,110215,Alur Langsat,village
1102152004,110215,Rambah Sayang,village
1102152006,110215,Rumah Luar,village
1102152007,110215,Tenembak Alas,village
1102152008,110215,Lawe Tungkal,village
1102152009,110215,Salim Pinim II,village
1102152010,110215,Jambukh Pekhmate,village
1102152011,110215,Khutung Mbelang,village
1102152012,110215,Timang Rasa,village
1102152013,110215,Stambul Jaya,village
1102152014,110215,Alur Nangke,village
1102152015,110215,Kute Mejile,village
1102162001,110216,Bintang Alga Musara,village
1102162002,110216,Bintang Bukit Indah,village
1102162003,110216,Tanjung Sari,village
1102162004,110216,Bun-bun Alas,village
1102162005,110216,Naga Timbul,village
1102162006,110216,Gunung Pak-Pak,village
1102162007,110216,Bukit Meriah,village
1102162008,110216,Permata Musara,village
1102162009,110216,Laut Tawar,village
1102162010,110216,Kane Mende,village
1102162011,110216,Lawe Sekhakut,village
1102162012,110216,Bunbun Indah,village
1102162013,110216,Suka Damai,village
1102162014,110216,Tuah Kekhine,village
1102162015,110216,Punce Nali,village
1102162016,110216,Sade Ate,village
1102162017,110216,Akhih Majile,village
1102162018,110216,Ukhat Peseluk,village
1102162019,110216,Tunas Mude,village
1102162020,110216,Gaye Sendah,village
1102162021,110216,Kute Hakhapen,village
1102162022,110216,Kompas,village
1102162023,110216,Sepakat,village
1103012001,110301,Alue Luddin Sa,village
1103012002,110301,Alue Luddin Dua,village
1103012003,110301,Alue Dalam,village
1103012004,110301,Dama Pulo Sa,village
1103012005,110301,Dama Pulo Dua,village
1103012006,110301,Buket Kulam,village
1103012007,110301,Seuneubok Teungoh,village
1103012008,110301,Jungka Gajah,village
1103012009,110301,Seuneubok Simpang,village
1103012010,110301,Matang Pineung,village
1103012011,110301,Lhok Geulumpang,village
1103012012,110301,Blang Buket,village
1103012013,110301,Meunasah Keutapang,village
1103012014,110301,Buket Rumia,village
1103012015,110301,Alue Gadeng,village
1103012016,110301,Kapai Baro,village
1103012017,110301,Seuneubok Tuha Sa,village
1103012018,110301,Seuneubok Tuha Dua,village
1103012019,110301,Seuneubok Buloh,village
1103012020,110301,Gaseh Sayang,village
1103012021,110301,Alue Lhok,village
1103012022,110301,Trieng Gadeng,village
1103012023,110301,Grong-Grong,village
1103012024,110301,Matang Geuto,village
1103012025,110301,Alue Merbo,village
1103012026,110301,Buket Raya,village
1103012027,110301,Gampong Keude,village
1103012028,110301,Peukan Idi Cut,village
1103012029,110301,Gampong Beunot,village
1103012030,110301,Seuneubok Baroh,village
1103012031,110301,Teupin Drum,village
